,Specimen,Unit,Easting,Northing,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,Total
1,OS-022,AFG,721081,5005294,74.90,0.24,10.95,3.17,0.02,0.03,0.07,3.02,5.56,0.01,1.30,99.32
2,OS-025,AFG,721253,5005324,76.40,0.19,11.89,1.25,0.01,0.03,0.05,2.59,6.55,0.01,0.66,99.61
3,RT-10-048B,AFG,721142,5005414,75.80,0.26,10.50,1.58,0.04,0.17,0.62,1.66,6.70,0.03,1.58,98.99
4,RT-10-051,AFG,721446,5005280,76.70,0.23,10.69,2.92,0.04,0.01,0.08,3.69,4.77,0.01,0.24,99.37
5,RT-10-67,AFG,720958,5005065,75.80,0.29,11.50,1.53,0.02,0.22,0.50,2.53,6.21,0.02,0.80,99.42
6,RT-10-011B,CLL,265510,5015472,79.00,0.38,11.32,1.43,0.01,0.10,0.08,5.89,0.55,0.01,0.62,99.42
7,RT-10-017,CLL,266965,5015222,77.90,0.22,12.37,0.31,0.01,0.01,0.47,7.33,0.18,0.02,0.71,99.51
8,RT-10-027,CLL,266931,5015643,75.50,0.50,10.78,3.84,0.01,0.16,0.15,4.56,2.51,0.05,0.61,98.72
9,RT-10-036,CLL,266653,5015142,79.40,0.25,11.03,1.95,0.01,0.15,0.02,2.48,2.40,0.03,1.55,99.33
10,OS-001,QMD,265553,5014996,51.30,1.18,17.54,11.03,0.19,4.69,5.67,4.64,1.74,0.29,1.92,100.24
11,OS-002,QMD,265556,5014993,54.10,0.93,17.64,8.73,0.14,3.68,5.48,5.02,2.35,0.23,1.82,100.21
12,OS-003,QMD,265556,5014993,56.00,1.03,17.24,7.96,0.14,3.01,5.14,4.66,1.75,0.28,2.17,99.48
13,OS-008 m,QMD,265567,5014870,61.30,1.07,15.41,6.82,0.06,3.03,2.56,4.36,2.17,0.22,2.81,99.85
14,RT-10-004,QMD,265554,5014994,55.60,0.95,17.53,8.29,0.15,3.48,5.86,4.31,2.01,0.24,1.56,100.07
15,NB07-253,QMD,265552,5014920,55.67,0.89,17.64,7.05,0.11,2.93,6.01,4.94,1.80,0.27,1.85,99.27
16,NB11-280A,TIF,727815,5012074,77.60,0.07,11.54,1.88,0.01,0.71,0.11,4.03,3.92,0.01,0.81,100.74
17,NB91-8002,TIF,728102,5014203,51.83,1.18,14.90,9.80,0.19,9.02,5.67,3.12,0.29,0.38,4.00,100.38
18,NB91-8005,TIF,725423,5011180,50.29,1.53,17.39,10.58,0.18,5.67,5.05,5.03,0.20,0.56,3.50,99.98
19,OS-016,TIF,720975,5005377,47.60,2.65,13.23,15.09,0.29,6.37,7.95,3.91,0.59,0.31,2.27,100.29
20,OS-018,TIF,720864,5005259,47.50,2.40,14.04,13.44,0.27,6.70,8.89,2.74,0.43,0.31,3.21,99.95
21,RT-10-045B,TIF,721059,5005395,47.00,2.18,15.75,13.34,0.41,8.71,4.46,2.81,0.03,0.23,4.94,99.83
22,SJ5 A,TIF,732872,5018062,50.42,1.11,17.60,9.18,0.15,6.29,5.45,4.48,0.76,0.24,4.00,99.68
23,SJ5B,TIF,732816,5018067,52.28,1.22,15.47,9.73,0.18,6.34,6.01,3.27,0.35,0.31,4.10,99.26
24,SJ6 A,TIF,732935,5018038,51.08,1.24,15.56,8.63,0.15,7.36,5.15,4.82,0.87,0.36,4.10,99.32
25,SJ6B,TIF,732889,5018057,52.10,1.16,16.93,8.50,0.14,5.10,6.12,4.66,1.12,0.33,2.90,99.06
26,NB91-8001,TIFg,726797,5013472,51.22,1.92,16.10,9.46,0.24,2.22,7.63,4.21,2.04,0.36,5.50,100.90
27,NB91-8007,TIFg,724347,5010318,52.09,1.93,15.77,11.66,0.21,4.30,6.34,3.99,0.94,0.61,3.10,100.94
28,NB91-8039,TIFg,724107,5008082,45.95,1.54,19.72,11.20,0.46,6.68,5.29,3.91,0.59,0.17,4.20,99.71
29,RT-10-057,TPL,720727,5004157,70.10,0.29,14.72,1.47,0.03,0.68,1.71,6.04,1.53,0.05,3.22,99.84
30,RT-10-059,TPL,721144,5004393,78.30,0.11,12.35,0.31,0.01,0.11,0.20,6.66,0.51,0.02,0.65,99.20
31,RT-10-060,TPL,721080,5004310,77.80,0.08,12.64,0.67,0.02,0.10,0.20,6.65,0.60,0.01,0.69,99.42
32,RT-10-080B,TPL,721082,5004222,78.30,0.26,12.46,0.52,0.01,0.01,0.26,7.31,0.20,0.08,0.31,99.69
33,NB10-277,TPL,720281,5004172,64.68,0.55,13.36,3.68,0.13,1.47,3.07,4.73,2.25,0.12,5.57,99.66
34,NB90-7056,WBF,276889,5012339,45.92,2.09,15.52,12.92,0.35,7.84,7.03,3.42,0.20,0.20,3.40,98.89
35,OS-004,WBF,265557,5014984,45.20,1.77,16.75,12.18,0.24,7.65,9.35,2.86,1.49,0.19,2.60,100.27
36,RT-10-073A,WBF,266408,5016068,47.00,2.20,15.77,13.48,0.42,8.82,4.43,2.77,0.03,0.23,5.09,100.18
37,RT-10-073C,WBF,266408,5016068,46.30,1.87,15.04,16.21,0.44,6.75,6.47,2.36,0.02,0.18,4.45,100.14
38,RT-10-074A,WBF,265907,5015803,48.60,2.77,13.25,14.46,0.33,4.88,9.96,2.47,0.05,0.33,2.47,99.58
39,RT-10-074B,WBF,265907,5015803,47.00,2.84,13.70,15.19,0.46,6.86,7.03,4.25,0.09,0.32,2.60,100.29
